Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
Kidnap,https://wikipedia.org/wiki/Kidnap_(2008_film),Sanjay Gadhvi,Dhillin Mehta,Shibani Bathija Sanjay Gadhvi (dialogues),Sanjay Dutt Imran Khan Minissha Lamba Vidya Malvade Ankita Makwana,Songs: Pritam Guest Composers: Sandeep-Sanjeev Score: Raju Singh,₹310 million[2],₹356 million[2]
Guddu,https://wikipedia.org/wiki/Guddu_(film),Prem Lalwani,Prem Lalwani,Abrar Alvi,Shah Rukh KhanManisha KoiralaDeepti NavalMukesh Khanna,Naushad,₹2 crore[1],₹4.48 crore[1]
Kaagaz 2,https://wikipedia.org/wiki/Kaagaz_2,V. K. Prakash,Sashi Satish KaushikGanesh JainRatan JainNishant Kaushik,Suman AnkurKhandelwal Shashank,Anupam KherDarshan KumarSatish KaushikSmriti KalraAnang Desai,Sharib-Toshi Srijan Vinay Vaishnav,,
Qayamat: City Under Threat,https://wikipedia.org/wiki/Qayamat:_City_Under_Threat,Harry Baweja,Pammi Baweja,,Ajay DevgnSuniel ShettySanjay KapoorArbaaz KhanIsha KoppikarRiya SenNeha DhupiaAashish Chaudhary,Nadeem-Shravan (Songs)Salim–Sulaiman (Score),₹16 crore (US$1.9 million)[2],₹28.52 crore (US$3.4 million)[2]
Kahin Pyaar Na Ho Jaaye,https://wikipedia.org/wiki/Kahin_Pyaar_Na_Ho_Jaaye,K. Murali Mohana Rao,Narendra Bajaj,"Sanjay Chhel,Manoj Lalwani,Rajesh Malik,Abbas Hirapurwala",Jackie ShroffMohnish BehlSalman KhanRani MukerjiRaveena Tandon Pooja BatraKashmera ShahInder Kumar,Himesh Reshammiya,₹7.75 crore[1],₹13.40 crore[1]
Kaun Kitney Paani Mein,https://wikipedia.org/wiki/Kaun_Kitney_Paani_Mein,,,,,,,
Cobalt Blue,https://wikipedia.org/wiki/Cobalt_Blue,,,,,,,
Game,https://wikipedia.org/wiki/Game_(2011_film),Abhinay Deo,Farhan AkhtarRitesh Sidhwani,,Abhishek BachchanKangana RanautSarah-Jane DiasGauahar KhanJimmy SheirgillShahana GoswamiBoman IraniAnupam Kher,Original Songs:  Shankar–Ehsaan–Loy  Original Score:Ram Sampath,₹240 million[1],₹128.7 million[1]
Singh Saab the Great,https://wikipedia.org/wiki/Singh_Saab_the_Great,Anil Sharma,Anuj SharmaSangeeta AhirJayantilal Gada,Shaktimaan Talwar,Sunny DeolUrvashi RautelaPrakash RajAmrita Rao,Anand Raj AnandSonu Nigam,₹25 crore[2],₹40.67 crore[3]
While We Watched,https://wikipedia.org/wiki/While_We_Watched,Vinay Shukla[1],"Luke W. Moody, Khushboo Ranka, Vinay Shukla","Reshma Ramachandran, Amaan Shaikh, Vinay Shukla, Abhinav Tyagi","Ravish Kumar, Sushil Bahuguna, Deepak Chaubey, Sushil Mohapatra, Swarolipi Sengupta, Saurabh Shukla",Joaquin Garcia,,
Tezaab,https://wikipedia.org/wiki/Tezaab,N. Chandra,Dinesh Gandhi,N. ChandraKamlesh Pandey,Anil KapoorMadhuri DixitAnupam KherChunky PandeyMandakiniKiran KumarSuresh Oberoi,Laxmikant–Pyarelal,,₹16 crore[1]
Chameli,https://wikipedia.org/wiki/Chameli,,,,,,,
Son Rise,https://wikipedia.org/wiki/Son_Rise,Vibha Bakshi,Vibha Bakshi,,,,,
LoveYatri,https://wikipedia.org/wiki/LoveYatri,,,,,,,
Mere Yaar Ki Shaadi Hai,https://wikipedia.org/wiki/Mere_Yaar_Ki_Shaadi_Hai,Sanjay Gadhvi,Yash ChopraAditya Chopra,,Uday ChopraTulip JoshiJimmy SheirgillBipasha Basu,Jeet-Pritam,₹57.5 million[1],₹165.4 million[1]
Pippa,https://wikipedia.org/wiki/Pippa_(film),Raja Krishna Menon,Ronnie ScrewvalaSiddharth Roy Kapur,Ravinder RandhawaTanmay MohanRaja Krishna Menon,Ishaan KhatterMrunal ThakurPriyanshu Painyuli,A. R. Rahman,,
Gurgaon,https://wikipedia.org/wiki/Gurgaon_(film),Shanker Raman,Alan McAlex[1]Ajay G. Rai[2],Vipin BhatiShanker RamanSourabh Ratnu,"Akshay Oberoi
Ragini Khanna
Pankaj Tripathi
Arjun Fauzdar
Tarun Foujdar",Naren ChandavarkarBenedict Taylor,,₹ 67 million[4] (Weekend gross)
Laawaris,https://wikipedia.org/wiki/Laawaris,,,,,,,
Babumoshai Bandookbaaz,https://wikipedia.org/wiki/Babumoshai_Bandookbaaz,Kushan Nandy,Kiran Shyam ShroffAshmith KunderKushan Nandy[1],Ghalib Asad Bhopali,Nawazuddin SiddiquiBidita BagJatin GoswamiShraddha DasDivya DuttaThiago Juliaci,Gaurav DagaonkarAbhilash LakraJoel DubbaDebojyoti Mishra,₹ 100 million[2][3][4],₹ 126 million[2][5][6]
Trishul,https://wikipedia.org/wiki/Trishul_(film),Yash Chopra,Gulshan Rai,Salim–Javed,Shashi KapoorSanjeev KumarAmitabh BachchanHema MaliniRaakheePoonam DhillonSachin,Mohammed Zahur Khayyam,est.₹8.8 million[2],est.₹110 million[2]
Paanch,https://wikipedia.org/wiki/Paanch,Anurag Kashyap,Padmini Kolhapure(presenter) Tutu Sharma Jaydev Banerjee,Anurag Kashyap,Kay Kay MenonAditya SrivastavaVijay MauryaJoy FernandesTejaswini Kolhapure,Vishal Bhardwaj,,
Joram,https://wikipedia.org/wiki/Joram,,,,,,,
