Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
The Kashmir Files,https://wikipedia.org/wiki/The_Kashmir_Files,Vivek Agnihotri,Tej Narayan AgarwalAbhishek AgarwalPallavi JoshiVivek Agnihotri[1],Vivek AgnihotriSaurabh M. Pandey,Mithun ChakrabortyAnupam KherDarshan KumarPallavi JoshiChinmay MandlekarBhasha Sumbli,Rohit Sharma,₹15−25 crore[3][4],est. ₹340.92 crore[5]
3 Idiots,https://wikipedia.org/wiki/3_Idiots,Rajkumar Hirani,Vidhu Vinod Chopra,,"Aamir Khan
R. Madhavan
Sharman Joshi
Kareena Kapoor
Boman Irani
Omi Vaidya",Score:Sanjay WandrekarAtul RaningaShantanu MoitraSongs:Shantanu Moitra,₹55 crore[2][3],₹400.61 crore[4]
Dangal,https://en.wikipedia.org/wiki/Dangal_(2016_film),Nitesh Tiwari,Aamir KhanKiran RaoSiddharth Roy Kapur,Nitesh TiwariPiyush GuptaShreyas JainNikhil Mehrotra,Aamir KhanSakshi TanwarFatima Sana ShaikhZaira WasimSanya MalhotraSuhani BhatnagarAparshakti Khurana,Pritam,₹70 crore[3],"₹1,968−2,500 crore [b]"
Tare Zameen Par,https://wikipedia.org/wiki/Taare_Zameen_Par,Aamir Khan,Aamir Khan,Amole Gupte,Darsheel SafaryAamir KhanTisca ChopraVipin SharmaTanay Chheda,Shankar–Ehsaan–LoyShailendra Barve,₹12 crore[2],₹98.48 crore[3]
PK,https://wikipedia.org/wiki/PK_(film),Rajkumar Hirani,"Vidhu Vinod Chopra
Rajkumar Hirani[1]","Rajkumar Hirani
Abhijat Joshi","Aamir Khan
Anushka Sharma
Sushant Singh Rajput
Boman Irani
Saurabh Shukla
Sanjay Dutt","Songs: 
Shantanu Moitra

Guest Composers: 
Ajay-Atul
Ankit Tiwari

Background Score: 
Sanjay Wandrekar
Atul Raninga",₹122 crore[3],₹769.89 crore[4]
Radhe,https://wikipedia.org/wiki/Radhe_(2021_film),Prabhu Deva,Salman KhanSohail KhanAtul AgnihotriNikhil Namit,A.C Mugil Vijay Maurya,Salman KhanDisha PataniRandeep HoodaJackie Shroff,"Songs:
Devi Sri Prasad
Himesh Reshammiya
Sajid-Wajid
Background Score:
Sanchit Balhara
Ankit Balhara",₹90 crore[8],₹18.33 crore[9]
Laal Singh Chaddha,https://wikipedia.org/wiki/Laal_Singh_Chaddha,Advait Chandan,"Aamir Khan
Kiran Rao
Jyoti Deshpande
Ajit Andhare",,Aamir KhanKareena Kapoor KhanNaga ChaitanyaMona SinghManav Vij,Score:Tanuj TikuSongs:Pritam,₹180 crore[2],est. ₹130 crore[3]
Pathaan,https://en.wikipedia.org/wiki/Pathaan_(film),Siddharth Anand,Aditya Chopra,,"Shah Rukh Khan
Deepika Padukone
John Abraham
Dimple Kapadia
Ashutosh Rana",Score:Sanchit BalharaAnkit BalharaSongs:Vishal–Shekhar,₹250 crore[4][5],"est. ₹1,050.3 crore[6]"
Dil Bechara,https://wikipedia.org/wiki/Dil_Bechara,Mukesh Chhabra,,Shashank KhaitanSuprotim Sengupta,"Sushant Singh Rajput
Sanjana Sanghi",A. R. Rahman,est. ₹25–30 crore[1],
Adipurush,https://wikipedia.org/wiki/Adipurush,Om Raut,Bhushan KumarKrishan KumarOm RautPrasad SutarRajesh Nair,Screenplay:Om RautDialogues:Manoj Muntashir,"Prabhas
Saif Ali Khan
Kriti Sanon
Sunny Singh
Devdatta Nage",Score:Sanchit BalharaAnkit BalharaSongs:Ajay-AtulSachet–Parampara,est.₹500–700 crore[3][4][5],est. ₹350 crore[6]
Shershaah,https://wikipedia.org/wiki/Shershaah,Vishnuvardhan,Hiroo Yash JoharKaran JoharApoorva MehtaShabbir BoxwalaAjay ShahHimanshu Gandhi,Sandeep Shrivastava,Sidharth MalhotraKiara Advani,Score:John Stewart EduriSongs:Tanishk BagchiB PraakJasleen RoyalJaved–MohsinVikram Montrose,,
12th Fail,https://wikipedia.org/wiki/12th_Fail,Vidhu Vinod Chopra,Vidhu Vinod ChopraYogesh Ishwar,Vidhu Vinod ChopraJaskunwar Kohli,"Vikrant Massey
Medha Shankar
Anant V Joshi
Anshumaan Pushkar",Shantanu Moitra,₹20 crore[2],est. ₹69.64 crore[3]
Rang De Basanti,https://wikipedia.org/wiki/Rang_De_Basanti,Rakeysh Omprakash Mehra,Rakeysh Omprakash MehraRonnie Screwvala,Dialogues:Rensil D'SilvaPrasoon Joshi,Aamir KhanSiddharthAtul KulkarniSharman JoshiKunal Kapoor Alice PattenSoha Ali KhanWaheeda RahmanKirron KherOm Puri,A. R. Rahman,,₹970 million[1][2]
Lagaan: Once Upon a Time in India,https://wikipedia.org/wiki/Lagaan,Ashutosh Gowariker,Aamir Khan Sanjay Dayma,,"Aamir Khan
Gracy Singh
Rachel Shelley
Paul Blackthorne",A. R. Rahman,₹250 million[4],est. ₹659.7 million (see below)
My Name Is Khan,https://wikipedia.org/wiki/My_Name_Is_Khan,Karan Johar,Hiroo Yash JoharGauri Khan,Shibani Bathija,Shah Rukh KhanKajol,Shankar–Ehsaan–Loy,₹85 crore[5],₹200 crore[6]
Brahmastra Part One: Shiva,https://wikipedia.org/wiki/Brahm%C4%81stra:_Part_One_%E2%80%93_Shiva,Ayan Mukerji,"Karan Johar
Apoorva Mehta
Hiroo Yash Johar
Namit Malhotra
Ayan Mukerji
Ranbir Kapoor
Marijke DeSouza",Ayan MukerjiHussain Dalal (Dialogues) [1],"Amitabh Bachchan
Ranbir Kapoor
Alia Bhatt
Mouni Roy
Nagarjuna",Pritam,₹375–400 crore[6],est. ₹418.8–431 crore[7][8][9]
Gangs of Wasseypur,https://wikipedia.org/wiki/Gangs_of_Wasseypur_%E2%80%93_Part_1,Anurag Kashyap,Anurag KashyapSunil BohraViacom18 Motion Pictures,Akhilesh JaiswalAnurag KashyapSachin K. Ladia,Manoj BajpayeeRicha ChaddaReema SenPiyush MishraNawazuddin SiddiquiJaideep AhlawatVineet Kumar SinghPankaj TripathiJameel KhanHuma QureshiAnurita JhaTigmanshu Dhulia,Songs:Sneha KhanwalkarPiyush MishraScore:G. V. Prakash Kumar,₹9.2 crore (US$1.72 million)[2],est. ₹35.13 crore[3]
Andhadhun,https://wikipedia.org/wiki/Andhadhun,Sriram Raghavan,Sudhanshu VatsAjit AndhareGaurav NandaAshok VasodiaKewal GargSanjay Routray,Sriram RaghavanHemanth M. RaoPooja Ladha SurtiArijit BiswasYogesh Chandekar,TabuAyushmann KhurranaRadhika ApteAnil Dhawan,Score:Daniel B. GeorgeSongs:Amit TrivediGuest Composers:RaftaarGirish Nakod,₹32 crore[2],est. ₹456.89 crore[3]
"Swades: We, the People",https://wikipedia.org/wiki/Swades,Ashutosh Gowariker,Ashutosh Gowariker,,Shah Rukh KhanGayatri JoshiKishori Ballal,A. R. Rahman,₹25 crore[1],est. ₹34.64 crore[2]
Bajrangi Bhaijaan,https://wikipedia.org/wiki/Bajrangi_Bhaijaan,Kabir Khan,Salman KhanRockline Venkatesh Kabir Khan,,Salman KhanHarshaali MalhotraKareena Kapoor Khan Nawazuddin Siddiqui,Score:Julius PackiamSongs:Pritam,₹75–90 crore[2][3],₹916.18−969.06 crore (see below)
Jawan,https://wikipedia.org/wiki/Jawan_(film),Atlee,Gauri KhanGaurav Verma,,Shah Rukh Khan NayantharaVijay SethupathiDeepika Padukone,Anirudh Ravichander,₹300 crore[2],"est. ₹1,148.32 crore[3]"
Sadak 2,https://wikipedia.org/wiki/Sadak_2,Mahesh Bhatt,Mukesh Bhatt,Mahesh BhattSuhrita Sengupta,Sanjay DuttAlia BhattAditya Roy KapurJisshu Sengupta,Songs:  Jeet Gannguli  Ankit Tiwari  Samidh Mukerjee  Urvi  Suniljeet  Background Score:  Sandeep Chowta,,
Drishyam,https://wikipedia.org/wiki/Drishyam,Jeethu Joseph,Antony Perumbavoor,Jeethu Joseph,MohanlalMeenaAsha SarathAnsiba HassanEsther AnilSiddique,Songs:Vinu ThomasAnil JohnsonBackground Score:Anil Johnson,₹3.5–5 crore[a],"est.₹75
crore[4]"
Animal,https://wikipedia.org/wiki/Animal_(2023_Hindi_film),,,,,,,
Munna Bhai M.B.B.S.,https://wikipedia.org/wiki/Munna_Bhai_M.B.B.S.,Rajkumar Hirani,Vidhu Vinod Chopra,,Sunil DuttSanjay DuttGracy SinghJimmy SheirgillArshad WarsiRohini HattangadiBoman Irani,Score:Sanjay WandrekarSongs:Anu Malik,₹100-120 million[1][2],est. ₹562.8 million[1]
Barfi!,https://wikipedia.org/wiki/Barfi!,Anurag Basu,Ronnie Screwvala Siddharth Roy Kapur,Story and Screenplay:Anurag BasuDialogues:Sanjeev Datta  Co-writer: Tani Basu,Ranbir KapoorPriyanka ChopraIleana D'Cruz,Pritam,₹35 crore[1],₹175 crore[1]
Zindagi Na Milegi Dobara,https://wikipedia.org/wiki/Zindagi_Na_Milegi_Dobara,Zoya Akhtar,Farhan AkhtarRitesh Sidhwani,,Hrithik RoshanAbhay DeolFarhan AkhtarKatrina KaifKalki Koechlin,Score:  Shankar–Ehsaan–Loy  Indrajit Sharma (Tubby)  Songs:  Shankar–Ehsaan–Loy,₹450 million[2],est. ₹1.53 billion[3]
Chak De! India,https://wikipedia.org/wiki/Chak_De!_India,Shimit Amin,Aditya Chopra,Jaideep Sahni,"Shah Rukh Khan
Vidya Malvade
Shilpa Shukla
Sagarika Ghatge
Chitrashi Rawat
Anjan Srivastav
Vibha Chibber",Salim–Sulaiman,₹200 million[1],₹1.09 billion[2]
A Wednesday,https://wikipedia.org/wiki/A_Wednesday!,Neeraj Pandey,Ronnie ScrewvalaShital BhatiaAnjum Rizvi,Neeraj Pandey,Naseeruddin ShahAnupam KherJimmy SheirgillAamir BashirDeepal Shaw,Sanjoy Chowdhury,,₹12 crore[2]
Sooryavanshi,https://wikipedia.org/wiki/Sooryavanshi,Rohit Shetty,Hiroo Yash JoharAruna BhatiaKaran JoharApoorva MehtaRohit Shetty,,Akshay Kumar  Katrina Kaif  Jackie Shroff  Ajay Devgan  Ranveer Singh,Score:  Amar Mohile  Songs:  Pritam  Tanishk Bagchi  Pav Dharia  Viju Shah  Lijo George – DJ Chetas  JAM8  Usha Khanna,₹160 crore[3],est. ₹294.91 crore[4]
Dilwale Dulhania Le Jayenge,https://wikipedia.org/wiki/Dilwale_Dulhania_Le_Jayenge,Aditya Chopra,Yash Chopra,Aditya Chopra,Shah Rukh KhanKajol,Jatin–Lalit,est. ₹40 million[2],est. ₹2 billion[3][4][5]
Dunki,https://wikipedia.org/wiki/Dunki,,,,,,,
Dil Chahta Hai,https://wikipedia.org/wiki/Dil_Chahta_Hai,Farhan Akhtar,Ritesh Sidhwani,Farhan Akhtar,"Aamir Khan
Saif Ali Khan
Akshaye Khanna
Preity Zinta
Sonali Kulkarni
Dimple Kapadia",Shankar–Ehsaan–Loy,₹80 million[2],₹397.2 million[3]
Kal Ho Naa Ho,https://wikipedia.org/wiki/Kal_Ho_Naa_Ho,Nikhil Advani,Yash Johar,Niranjan Iyengar (dialogues),Jaya BachchanShah Rukh KhanSaif Ali KhanPreity Zinta,Shankar–Ehsaan–Loy,₹220–300 million[2][3],₹860.9 million[4]
Coolie No. 1,https://wikipedia.org/wiki/Coolie_No._1_(2020_film),David Dhawan,Vashu BhagnaniJackky BhagnaniDeepshikha Deshmukh,,Varun DhawanSara Ali KhanParesh Rawal,Songs:Salim–SulaimanAnand-MilindTanishk BagchiLijo George-DJ ChetasJaved-MohsinBackground Score:Salim–Sulaiman,,
Hera Pheri,https://wikipedia.org/wiki/Hera_Pheri_(film_series),,,,,,,
Uri: The Surgical Strike,https://wikipedia.org/wiki/Uri:_The_Surgical_Strike,Aditya Dhar,Ronnie Screwvala,Aditya Dhar,Vicky KaushalYami GautamParesh RawalKirti KulhariRajit KapurMohit RainaAkashdeep AroraManasi ParekhThiago Juliaci,Shashwat Sachdev,₹25 crore[3],₹342.06 crore[4]
Kick,https://wikipedia.org/wiki/Kick_(2014_film),Sajid Nadiadwala,Sajid Nadiadwala,Rajat Arora,Salman KhanJacqueline FernandezRandeep HoodaNawazuddin SiddiquiMithun Chakraborty,Score:Julius PackiamSongs:Himesh ReshammiyaMeet Bros AnjjanYo Yo Honey Singh,₹140 crore[2],est. ₹402 crore[3]
Bhaag Milkha Bhaag,https://wikipedia.org/wiki/Bhaag_Milkha_Bhaag,Rakeysh Omprakash Mehra,Rajiv TandonSudhanshu VatsRaghav BahlMaitrayee DasguptaP. S. Bharathi,Prasoon Joshi,Farhan Akhtar,Songs:Shankar–Ehsaan–LoyBackground Score:Shankar–Ehsaan–LoyIndrajit Sharma (Tubby),₹410 million[2],est. ₹2.1 billion[3]
Hotel Mumbai,https://wikipedia.org/wiki/Hotel_Mumbai,Anthony Maras,"Basil Iwanyk
Gary Hamilton
Mike Gabrawy
Julie Ryan
Andrew Ogilvie
Jomon Thomas","John Collee
Anthony Maras","Dev Patel
Armie Hammer
Nazanin Boniadi
Tilda Cobham-Hervey
Anupam Kher
Jason Isaacs",Volker Bertelmann,$17.3 million (A$25 million)[2],$21.1 million (A$31.5 million)[3]
M.S. Dhoni: The Untold Story,https://wikipedia.org/wiki/M.S._Dhoni:_The_Untold_Story,Neeraj Pandey,Arun PandeyFox Star Studios,Neeraj PandeyDilip Jha,Sushant Singh RajputDisha PataniKiara AdvaniAnupam KherBhumika ChawlaKranti Prakash JhaAlok Pandey,Score:Sanjoy ChowdhurySongs: Amaal MallikRochak Kohli (1 song),,est. ₹216 crore (US$26 million)[2]
Queen,https://wikipedia.org/wiki/Queen_(2013_film),Vikas Bahl,Anurag KashyapVikramaditya Motwane,Anvita Dutt Guptan,Kangana RanautRajkummar RaoLisa Haydon,Amit Trivedi,₹23 crore[2],₹95.04 crore[3]
Ghajini,https://wikipedia.org/wiki/Ghajini_(2008_film),A. R. Murugadoss,"'Tagore' B. Madhu
Madhu Mantena",,"Aamir Khan
Asin
Jiah Khan",A. R. Rahman,₹65 crore[4],est. ₹232 crore[a]
Kahaani,https://wikipedia.org/wiki/Kahaani,Sujoy Ghosh,Sujoy GhoshKushal Kantilal Gada,,Vidya BalanParambrata ChatterjeeNawazuddin SiddiquiIndraneil SenguptaSaswata Chatterjee,Songs:Vishal–ShekharScore:Clinton Cerejo,₹80 million[3],₹1.04 billion[4]
OMG: Oh My God!,https://wikipedia.org/wiki/OMG_%E2%80%93_Oh_My_God!,Umesh Shukla[1],Akshay KumarB.K. ModiVikram Malhotra,Umesh ShuklaSaumya JoshiBhavesh Mandalia,Paresh RawalAkshay KumarMithun Chakraborty,Score:Amar MohileSongs:Himesh ReshammiyaSachin–JigarMeet Bros. Anjjan,₹20 crores[5],₹149.90 crores[6]
The White Tiger,https://wikipedia.org/wiki/The_White_Tiger_(film),Ramin Bahrani,Mukul DeoraRamin Bahrani,,"Adarsh Gourav
Priyanka Chopra Jonas
Rajkummar Rao",Danny BensiSaunder Jurriaans,,
Chennai Express,https://wikipedia.org/wiki/Chennai_Express,Rohit Shetty,Ronnie ScrewvalaSiddharth Roy KapurGauri KhanKarim Morani,Yunus Sajawal (screenplay)Farhad-Sajid (dialogues),Deepika Padukone[1]Shah Rukh KhanNikitin DheerSathyaraj,Original Soundtrack:Vishal–ShekharBackground Score:Amar MohileGuest Composer:Yo Yo Honey Singh,₹70 crore[6][7],₹423 crore[8]
Chhichhore,https://wikipedia.org/wiki/Chhichhore,Nitesh Tiwari,Sajid Nadiadwala,Nitesh TiwariPiyush GuptaNikhil Mehrotra,Sushant Singh RajputShraddha KapoorVarun SharmaNaveen PolishettyTushar PandeyTahir Raj BhasinPrateik BabbarMk Sabbir RahmanShishir SharmaMohammad Samad,Songs:PritamBackground Score:Sameer Uddin,₹50 crore (US$6.0 million)[2],est. ₹215.41 crore (US$26 million) [3]
Gangubai Kathiawadi,https://wikipedia.org/wiki/Gangubai_Kathiawadi,Sanjay Leela Bhansali,Jayantilal GadaSanjay Leela Bhansali,,"Alia Bhatt
Shantanu Maheshwari
Vijay Raaz
Indira Tiwari
Seema Pahwa
Jim Sarbh
Ajay Devgn",Songs: Sanjay Leela Bhansali Score: Sanchit BalharaAnkit Balhara,₹100-180 crore [2] [3] [4] [5][6],est. ₹209.77 crore (US$25 million)[7]
Sanju,https://wikipedia.org/wiki/Sanju,Rajkumar Hirani,Vidhu Vinod ChopraRajkumar Hirani[1][2],Abhijat JoshiRajkumar Hirani,Ranbir Kapoor,Songs:A. R. RahmanRohan-RohanVikram MontroseBackground Score:Sanjay WandrekarAtul Raninga,₹96 crore[5],₹587 crore[6]
Dasvi,https://wikipedia.org/wiki/Dasvi,Tushar Jalota,Dinesh VijanShobhna YadavSandeep Leyzell,Ritesh ShahSuresh NairSandeep Leyzell,Abhishek BachchanYami GautamNimrat Kaur,Sachin–Jigar,,
The Lunchbox,https://wikipedia.org/wiki/The_Lunchbox,Ritesh Batra,"Anurag Kashyap
Guneet Monga
Arun Rangachari",Ritesh Batra,"Irrfan Khan
Nimrat Kaur
Bharti Achrekar
Nakul Vaid
Nawazuddin Siddiqui",Max Richter,₹22 crore[3],₹110 crore (est.)
Baby,https://wikipedia.org/wiki/Baby_(2015_Hindi_film),Neeraj Pandey,Bhushan KumarAruna BhatiaShital BhatiaKrishan Kumar,Neeraj Pandey,Akshay KumarAnupam KherDanny DenzongpaRana DaggubatiTaapsee PannuKay Kay MenonRasheed Naz,Songs:M. M. KreemMeet Bros. AnjjanScore:Sanjoy Chowdhury,₹25 crore[2],₹143 crore[3]
Gunday,https://wikipedia.org/wiki/Gunday,Ali Abbas Zafar,Aditya Chopra,Ali Abbas Zafar,Ranveer SinghArjun KapoorPriyanka ChopraIrrfan Khan,"Songs:
Sohail Sen
Background Score:
Julius Packiam",₹51 crore[2],est. ₹130.91 crore[3]
Tumbbad,https://wikipedia.org/wiki/Tumbbad,Rahi Anil Barve,Sohum ShahAanand L. RaiAnand Gandhi[2]Mukesh ShahAmita Shah,,Sohum Shah,Song:Ajay–AtulScore:Jesper Kyd,₹5 crores[3],₹13.57 crores[1]
Special Chabbis,https://wikipedia.org/wiki/Special_26,Neeraj Pandey,Viacom 18 Motion PicturesShital BhatiaKumar Mangat Pathak,Neeraj Pandey,"Akshay Kumar
Manoj Bajpayee
Kajal Aggarwal
Jimmy Sheirgill
Anupam Kher",Songs:M. M. KreemGuest Composer:Himesh ReshammiyaScore:Surinder Sodhi,,est. ₹103 crore[2]
Jab We Met,https://wikipedia.org/wiki/Jab_We_Met,Imtiaz Ali,Dhilin Mehta,Imtiaz Ali,Shahid KapoorKareena Kapoor,Songs:  Pritam  Guest Composition:  Sandesh Shandilya  Background Score:  Sanjoy Chowdhury,₹15 crore[2],₹50.9 crore[2]
Jab Tak Hai Jaan,https://wikipedia.org/wiki/Jab_Tak_Hai_Jaan,Yash Chopra,Aditya Chopra,Aditya Chopra,"Shah Rukh Khan
Katrina Kaif
Anushka Sharma",A. R. Rahman,₹78 crore[2],est. ₹235.66 crore[3]
Rocketry: The Nambi Effect,https://wikipedia.org/wiki/Rocketry:_The_Nambi_Effect,R. Madhavan,Sarita MadhavanR. MadhavanVarghese MoolanVijay V. Moolan,R. Madhavan,R.  MadhavanSimran,Songs:Sam C. S.Billy DawsonNate CornellDiwakar SubramaniamBackground Score:Sam C. S.,₹25 crore[2],est. ₹50 crore[3]
Sholay,https://wikipedia.org/wiki/Sholay,Ramesh Sippy,G. P. Sippy,Salim–Javed,"Dharmendra
Sanjeev Kumar
Hema Malini
Amitabh Bachchan
Jaya Bhaduri
Amjad Khan",R. D. Burman,₹30 million[1],est. ₹350 million (India)[2]  250 million tickets (worldwide)[3]
Airlift,https://wikipedia.org/wiki/Airlift_(film),Raja Krishna Menon,"Nikkhil Advani
Monisha Adwani
Aruna Bhatia
Bhushan Kumar
Gaurav Nanda
Krishan Kumar
Vikram Malhotra","Raja Krishna Menon
Suresh Nair
Rahul Nangia
Ritesh Shah","Akshay Kumar
Nimrat Kaur","Songs:
Amaal Mallik
Ankit Tiwari
Background score:
Arijit Dutta",₹62 Crores[2],₹221.67 Crores[3]
Laxmii,https://wikipedia.org/wiki/Laxmii,Raghava Lawrence,,,Akshay KumarKiara Advani,Score:  Amar Mohile  Songs:  Tanishk Bagchi  Shashi–DJ Khushi  Ullumanati,,
Don 2,https://wikipedia.org/wiki/Don_2,Farhan Akhtar,Farhan AkhtarRitesh SidhwaniShah Rukh Khan,,Shah Rukh KhanPriyanka Chopra Boman IraniKunal KapoorAlly KhanNawwab ShahSahil ShroffOm PuriLara Dutta,Shankar–Ehsaan–Loy,₹76 crore[2],est. ₹202.81 crore[2]
Haider,https://wikipedia.org/wiki/Haider_(film),Vishal Bhardwaj,Vishal BhardwajSiddharth Roy Kapur,Basharat PeerVishal Bhardwaj,Shahid KapoorTabuKay Kay MenonShraddha KapoorIrrfan Khan,Vishal Bhardwaj,₹35 crore[1],₹85 crore[1]
Veer Zaara,https://wikipedia.org/wiki/Veer-Zaara,Yash Chopra,Yash ChopraAditya Chopra,Aditya Chopra,Shah Rukh KhanPreity ZintaRani Mukerji,Original Songs:Madan MohanBackground Score:R. S. ManiRevision:Sanjeev Kohli,₹26 crore[2],₹105 crore[3]
Kuch Kuch Hota Hai,https://wikipedia.org/wiki/Kuch_Kuch_Hota_Hai,Karan Johar,Yash Johar,Karan Johar,"Shah Rukh Khan
Kajol
Rani Mukherji
Salman Khan
Sana Saeed",Jatin–Lalit,₹100 million[2],est.₹1.07 billion[3]
Kabhi Khushi Kabhie Gham...,https://wikipedia.org/wiki/Kabhi_Khushi_Kabhie_Gham...,Karan Johar,Yash Johar,Karan Johar,"Amitabh Bachchan
Jaya Bachchan
Shah Rukh Khan
Kajol
Hrithik Roshan
Kareena Kapoor",Songs:Jatin–LalitSandesh ShandilyaAadesh ShrivastavaBackground Score:Babloo Chakravarty,₹400 million[2],₹1.36 billion[2]
Shamshera,https://wikipedia.org/wiki/Shamshera,Karan Malhotra,Aditya Chopra,,"Ranbir Kapoor
Sanjay Dutt
Vaani Kapoor",Mithoon,₹150 crore[2][3],₹63.58 crore[4]
Andaz Apna Apna,https://wikipedia.org/wiki/Andaz_Apna_Apna,Rajkumar Santoshi,Vinay Kumar Sinha,Rajkumar SantoshiDilip Shukla,"Aamir Khan
Salman Khan
Raveena Tandon
Karishma Kapoor
Paresh Rawal
Shakti Kapoor",Tushar Bhatia (songs)  Viju Shah (score),₹29 million[1],₹86.5 million[1]
Rab Ne Bana Di Jodi,https://wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi,Aditya Chopra,Yash Chopra,Aditya Chopra,Shah Rukh KhanAnushka SharmaVinay Pathak,Salim–Sulaiman,₹31 crore[3],est. ₹157 crore[4]
Chor Nikal Ke Bhaga,https://wikipedia.org/wiki/Chor_Nikal_Ke_Bhaga,Ajay Singh,Dinesh VijanAmar Kaushik,Siraj AhmedAmar KaushikRaj Kumar Gupta,"Yami Gautam
Sunny Kaushal",Score:Ketan SodhaSongs:Vishal Mishra,,
Tiger 3,https://wikipedia.org/wiki/Tiger_3,Maneesh Sharma,Aditya Chopra,,Salman KhanKatrina KaifEmraan Hashmi,Songs:PritamScore:Tanuj Tiku,₹300 crore[3],est. ₹466.63 crore[4]
Samrat Prithviraj,https://wikipedia.org/wiki/Samrat_Prithviraj,Chandraprakash Dwivedi,Aditya Chopra,Chandraprakash Dwivedi,Akshay KumarSanjay DuttSonu SoodManushi Chhillar,Score: Sanchit BalharaAnkit BalharaSongs:Shankar–Ehsaan–LoyAlap Desai,₹150−300 crore[a],est. ₹90.32 crore[13]
The Archies,https://wikipedia.org/wiki/The_Archies_(film),Zoya Akhtar,Zoya AkhtarReema KagtiSharad DevarajanJon Goldwater,Story and Screenplay:Ayesha Devitre DhillonReema KagtiZoya AkhtarDialogues:Farhan Akhtar,"Agastya Nanda
Khushi Kapoor
Suhana Khan
Vedang Raina
Mihir Ahuja
Aditi ""Dot"" Saigal
Yuvraj Menda
Suhas Ahuja",Songs:Shankar–Ehsaan–LoyAnkur TewariThe IslandersAditi "Dot" SaigalBackground score:Shankar–Ehsaan–LoyJim Satya,est. ₹40 crore (US$4.8 million)[2],
Sultan,https://wikipedia.org/wiki/Sultan_(2016_film),Ali Abbas Zafar,Aditya Chopra,Ali Abbas Zafar,Salman Khan Anushka SharmaRandeep HoodaAmit Sadh,Score:Julius PackiamMusic:Vishal–Shekhar,₹90 crore[1],est. ₹623.33 crore[2]
Yeh Jawaani Hai Deewani,https://wikipedia.org/wiki/Yeh_Jawaani_Hai_Deewani,Ayan Mukerji,Hiroo Yash JoharKaran Johar,,"Ranbir Kapoor
Deepika Padukone
Aditya Roy Kapur
Kalki Koechlin
Kunaal Roy Kapur",Pritam,₹ 40 crore[2],₹ 320 crore[3]
Toofaan,https://wikipedia.org/wiki/Toofaan,Rakeysh Omprakash Mehra,Ritesh SidhwaniFarhan AkhtarRakeysh Omprakash Mehra,Anjum RajabaliVijay Maurya Farhan Akhtar,Farhan AkhtarParesh RawalMrunal ThakurHussain Dalal,Shankar–Ehsaan–LoyDub SharmaSamuel-AkankshaDaniel Lozinski,,
Lust Stories 2,https://wikipedia.org/wiki/Lust_Stories_2,"R. Balki
Konkona Sen Sharma
Amit Ravindernath Sharma
Sujoy Ghosh","Ronnie Screwvala
Ashi Dua Sara",,"Kajol
Mrunal Thakur
Kumud Mishra
Angad Bedi
Amruta Subhash
Neena Gupta
Tamannaah Bhatia
Tillotama Shome
Vijay Varma","Raja Narayan Deb
Aman Pant
Sagar Desai
Subhajit Mukherjee",,
Teri Baaton Mein Aisa Uljha Jiya,https://wikipedia.org/wiki/Teri_Baaton_Mein_Aisa_Uljha_Jiya,Amit JoshiAradhana Sah,Dinesh VijanJyoti DeshpandeLaxman Utekar,Amit JoshiAradhana Sah,"Shahid Kapoor
Kriti Sanon",Score:Sachin–JigarSongs:Tanishk BagchiSachin–JigarMitrazRaghavTalwiinderNDSMC SQUARE,est.₹45.85−75 crore[2][3],₹133.64 crore[4]
Raees,https://wikipedia.org/wiki/Raees_(film),,,,,,,
Lage Raho Munna Bhai,https://wikipedia.org/wiki/Lage_Raho_Munna_Bhai,Rajkumar Hirani,Vidhu Vinod Chopra,Rajkumar HiraniAbhijat Joshi,"Sanjay Dutt
Arshad Warsi
Vidya Balan
Jimmy Sheirgill
Boman Irani
Dia Mirza
Dilip Prabhavalkar",Songs:Shantanu MoitraBackground Score:Sanjay WandrekarShantanu Moitra,₹190 million[3],est.₹1.262 billion[4]
Om Shanti Om,https://wikipedia.org/wiki/Om_Shanti_Om,Farah Khan,Gauri Khan,Screenplay:Farah KhanMushtaq ShiekhDialogues:Mayur Puri,Shah Rukh KhanDeepika PadukoneShreyas TalpadeKirron KherArjun Rampal,Songs:Vishal–Shekhar  Score:Sandeep Chowta,₹40 crore[1][2],₹152 crore[3][4][5]
Murder Mubarak,https://wikipedia.org/wiki/Murder_Mubarak,Homi Adajania,Dinesh Vijan,Gazal DhaliwalTamojit DasSuprotim Sengupta,"Pankaj Tripathi
Sara Ali Khan
Vijay Varma
Karisma Kapoor
Dimple Kapadia
Tisca Chopra
Sanjay Kapoor",Sachin–Jigar,,
Rockstar,https://wikipedia.org/wiki/Rockstar_(2011_film),Imtiaz Ali,Sunil LullaDhilin Mehta,Imtiaz Ali,"Ranbir Kapoor 
Nargis Fakhri",A. R. Rahman,₹60 crores[3],₹108.7 crores (initial run)[4]₹5.65 crore (re-release)[5]
Fan,https://wikipedia.org/wiki/Fan_(film),,,,,,,
