ID,Movie_Name,URL,Director,Producer,Writer,Casting,Budget,Box_Office,Duration,Year,Rating,Rating_count,Genre,Inflated_Box_Office,Inflated_Budget,Performance,Profit
Chennai_Express,Chennai Express,https://wikipedia.org/wiki/Chennai_Express,Rohit Shetty,"Ronnie Screwvala, Siddharth Roy Kapur, Gauri Khan, Karim Morani","Yunus Sajawal, Farhad Sajid","Deepika Padukone, Shah Rukh Khan, Nikitin Dheer, Sathyaraj",70.0,423.0,2h 21m,2013,6.2,64000,Comedy,802.98,132.88,Blockbuster,6.042857142857143
Chhichhore,Chhichhore,https://wikipedia.org/wiki/Chhichhore,Nitesh Tiwari,Sajid Nadiadwala,"Nitesh Tiwari, Piyush Gupta, Nikhil Mehrotra","Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Naveen Polishetty, Tushar Pandey, Tahir Raj Bhasin, Prateik Babbar, Mk Sabbir Rahman, Shishir Sharma, Mohammad Samad",50.0,215.0,2h 23m,2019,8.3,64000,Drama,287.72,66.91,Blockbuster,4.3
Gangubai_Kathiawadi,Gangubai Kathiawadi,https://wikipedia.org/wiki/Gangubai_Kathiawadi,Sanjay Leela Bhansali,"Jayantilal Gada, Sanjay Leela Bhansali",,"Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari, Seema Pahwa, Jim Sarbh, Ajay Devgn",140.0,210.0,2h 32m,2022,7.8,63000,Biographical,235.96,157.3,Semihit,1.5
Sanju,Sanju,https://wikipedia.org/wiki/Sanju,Rajkumar Hirani,"Vidhu Vinod Chopra, Rajkumar Hirani","Abhijat Joshi, Rajkumar Hirani",Ranbir Kapoor,96.0,587.0,2h 35m,2018,7.6,62000,Biographical,832.67,136.18,Blockbuster,6.114583333333333
The_Lunchbox,The Lunchbox,https://wikipedia.org/wiki/The_Lunchbox,Ritesh Batra,"Anurag Kashyap, Guneet Monga, Arun Rangachari",Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Bharti Achrekar, Nakul Vaid, Nawazuddin Siddiqui",22.0,110.0,1h 44m,2013,7.8,61000,Romance,208.81,41.76,Blockbuster,5.0
Baby_(2015_Hindi_film),Baby,https://wikipedia.org/wiki/Baby_(2015_Hindi_film),Neeraj Pandey,"Bhushan Kumar, Aruna Bhatia, Shital Bhatia, Krishan Kumar",Neeraj Pandey,"Akshay Kumar, Anupam Kher, Danny Denzongpa, Rana Daggubati, Taapsee Pannu, Kay Kay Menon, Rasheed Naz",25.0,143.0,2h 39m,2015,7.9,61000,Action,241.6,42.24,Blockbuster,5.72
Gunday,Gunday,https://wikipedia.org/wiki/Gunday,Ali Abbas Zafar,Aditya Chopra,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan",51.0,131.0,2h 32m,2014,2.7,60000,Action,234.6,91.33,Superhit,2.5686274509803924
Tumbbad,Tumbbad,https://wikipedia.org/wiki/Tumbbad,Rahi Anil Barve,"Sohum Shah, Aanand L. Rai, Anand Gandhi, Mukesh Shah, Amita Shah",,Sohum Shah,5.0,14.0,1h 44m,2018,8.2,60000,Horror,19.86,7.09,Superhit,2.8
Special_26,Special Chabbis,https://wikipedia.org/wiki/Special_26,Neeraj Pandey,"Viacom 18 Motion Pictures, Shital Bhatia, Kumar Mangat Pathak",Neeraj Pandey,"Akshay Kumar, Manoj Bajpayee, Kajal Aggarwal, Jimmy Sheirgill, Anupam Kher",39.0,103.0,2h 24m,2013,8.0,60000,Crime,195.52,74.03,Superhit,2.641025641025641
Jab_We_Met,Jab We Met,https://wikipedia.org/wiki/Jab_We_Met,Imtiaz Ali,Dhilin Mehta,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor",15.0,51.0,2h 18m,2007,7.9,60000,Romance,137.33,40.39,Superhit,3.4
Jab_Tak_Hai_Jaan,Jab Tak Hai Jaan,https://wikipedia.org/wiki/Jab_Tak_Hai_Jaan,Yash Chopra,Aditya Chopra,Aditya Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma",78.0,236.0,3h 18m,2012,6.7,59000,Romance,474.88,156.95,Superhit,3.0256410256410255
Rocketry:_The_Nambi_Effect,Rocketry: The Nambi Effect,https://wikipedia.org/wiki/Rocketry:_The_Nambi_Effect,R. Madhavan,"Sarita Madhavan, R. Madhavan, Varghese Moolan, Vijay V. Moolan",R. Madhavan,"R. Madhavan, Simran",25.0,50.0,2h 37m,2022,8.7,59000,Biographical,56.18,28.09,Superhit,2.0
Sholay,Sholay,https://wikipedia.org/wiki/Sholay,Ramesh Sippy,G. P. Sippy,Salim Javed,"Dharmendra, Sanjeev Kumar, Hema Malini, Amitabh Bachchan, Jaya Bhaduri, Amjad Khan",3.0,35.0,3h 24m,1975,8.1,59000,Action,608.21,52.13,All Time BlockBuster,11.666666666666666
Airlift_(film),Airlift,https://wikipedia.org/wiki/Airlift_(film),Raja Krishna Menon,"Nikkhil Advani, Monisha Adwani, Aruna Bhatia, Bhushan Kumar, Gaurav Nanda, Krishan Kumar, Vikram Malhotra","Raja Krishna Menon, Suresh Nair, Rahul Nangia, Ritesh Shah","Akshay Kumar, Nimrat Kaur",62.0,222.0,2h 10m,2016,7.9,59000,Drama,353.83,98.82,Superhit,3.5806451612903225
Don_2,Don 2,https://wikipedia.org/wiki/Don_2,Farhan Akhtar,"Farhan Akhtar, Ritesh Sidhwani, Shah Rukh Khan",,"Shah Rukh Khan, Priyanka Chopra, Boman Irani, Kunal Kapoor, Ally Khan, Nawwab Shah, Sahil Shroff, Om Puri, Lara Dutta",76.0,203.0,2h 28m,2011,7.1,59000,Action,432.98,162.1,Superhit,2.6710526315789473
Haider_(film),Haider,https://wikipedia.org/wiki/Haider_(film),Vishal Bhardwaj,"Vishal Bhardwaj, Siddharth Roy Kapur","Basharat Peer, Vishal Bhardwaj","Shahid Kapoor, Tabu, Kay Kay Menon, Shraddha Kapoor, Irrfan Khan",35.0,85.0,2h 40m,2014,8.0,58000,Drama,152.22,62.68,Superhit,2.4285714285714284
Veer-Zaara,Veer Zaara,https://wikipedia.org/wiki/Veer-Zaara,Yash Chopra,"Yash Chopra, Aditya Chopra",Aditya Chopra,"Shah Rukh Khan, Preity Zinta, Rani Mukerji",26.0,105.0,3h 12m,2004,7.8,58000,Romance,336.75,83.39,Blockbuster,4.038461538461538
Kuch_Kuch_Hota_Hai,Kuch Kuch Hota Hai,https://wikipedia.org/wiki/Kuch_Kuch_Hota_Hai,Karan Johar,Yash Johar,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukherji, Salman Khan, Sana Saeed",10.0,107.0,2h 57m,1998,7.5,58000,Romance,486.78,45.49,All Time BlockBuster,10.7
Kabhi_Khushi_Kabhie_Gham...,Kabhi Khushi Kabhie Gham...,https://wikipedia.org/wiki/Kabhi_Khushi_Kabhie_Gham...,Karan Johar,Yash Johar,Karan Johar,"Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor",40.0,136.0,3h 30m,2001,7.4,57000,Drama,519.49,152.79,Superhit,3.4
Shamshera,Shamshera,https://wikipedia.org/wiki/Shamshera,Karan Malhotra,Aditya Chopra,,"Ranbir Kapoor, Sanjay Dutt, Vaani Kapoor",150.0,64.0,2h 58m,2022,4.7,57000,Action,71.91,168.54,Flop,0.4266666666666667
