Movie_Name,Duration,Year,Rating,Rating_count
Madgaon Express,2h 23m,2024,7.1,37000
Bachchhan Paandey,2h 27m,2022,5,37000
Black,2h 2m,2005,8.1,36000
Tanhaji: The Unsung Warrior,2h 15m,2020,7.5,36000
The Tashkent Files,2h 14m,2019,8.1,36000
Gunjan Saxena: The Kargil Girl,1h 52m,2020,5.5,36000
Anand,2h 2m,1971,8.1,36000
Fanaa,2h 48m,2006,7.1,35000
Crew,1h 58m,2024,5.9,35000
Raanjhanaa,2h 20m,2013,7.6,35000
Jodhaa Akbar,3h 33m,2008,7.5,35000
Dabangg,2h 6m,2010,6.2,35000
Freddy,2h 4m,2022,7.3,34000
Wake Up Sid,2h 18m,2009,7.6,34000
Piku,2h 3m,2015,7.6,34000
Tiger Zinda Hai,2h 41m,2017,5.9,34000
Raazi,2h 18m,2018,7.7,34000
Mohabbatein,3h 36m,2000,7,34000
War,2h 31m,2019,6.5,34000
Bhool Bhulaiyaa 2,2h 23m,2022,5.7,33000
Aashiqui 2,2h 12m,2013,7.1,33000
Bhool Bhulaiyaa,2h 39m,2007,7.4,33000
Major,2h 30m,2022,8.1,33000
Bharat,2h 30m,2019,4.7,33000
Tamasha,2h 19m,2015,7.4,32000
Dev.D,2h 24m,2009,7.9,32000
An Action Hero,2h 10m,2022,7,32000
Udta Punjab,2h 28m,2016,7.7,32000
Hindi Medium,2h 12m,2017,7.8,32000
Radhe Shyam,2h 18m,2022,5.2,32000
Masaan,1h 49m,2015,8.1,32000
Dil Se..,2h 24m,1998,7.5,31000
Badla,1h 58m,2019,7.8,31000
Shehzada,2h 22m,2023,4.5,31000
Highway,2h 13m,2014,7.6,31000
Zero,2h 44m,2018,5.2,31000
Haseen Dillruba,2h 15m,2021,6.9,31000
Runway 34,2h 25m,2022,7,30000
Satyaprem Ki Katha,2h 26m,2023,6.7,30000
Holiday,2h 40m,2014,7.2,30000
Baazigar,2h 55m,1993,7.6,30000
Dhoom 2,2h 32m,2006,6.5,30000
Kho Gaye Hum Kahan,2h 15m,2023,7.4,30000
Tanu Weds Manu Returns,2h 8m,2015,7.6,30000
Secret Superstar,2h 30m,2017,7.8,30000
Kaabil,2h 19m,2017,7.1,30000
Padman,2h 20m,2018,7.9,29000
Sirf Ek Bandaa Kaafi Hai,2h 12m,2023,8,29000
Rustom,2h 28m,2016,7,29000
Kapoor & Sons,2h 12m,2016,7.7,29000
Jaane Tu... Ya Jaane Na,2h 35m,2008,7.4,28000
Phir Hera Pheri,2h 33m,2006,7.3,28000
Atrangi Re,2h 18m,2021,6.5,28000
Bodyguard,2h 10m,2011,4.7,28000
Chehre,2h 19m,2021,6.2,28000
Tu Jhoothi Main Makkaar,2h 30m,2023,6,28000
Koi... Mil Gaya,2h 51m,2003,7.1,28000
Chhapaak,2h,2020,5.4,28000
Heropanti 2,2h 25m,2022,2.3,28000
2.O,2h 28m,2018,6,27000
Bhoot Police,2h 9m,2021,6.7,27000
Jolly LLB 2,2h 17m,2017,7.2,27000
Merry Christmas,2h 24m,2024,6.9,27000
Sarfarosh,2h 54m,1999,8.1,27000
2 States,2h 29m,2014,6.9,27000
Agneepath,2h 54m,2012,6.9,27000
Thappad,2h 22m,2020,7,27000
Monsoon Wedding,1h 54m,2001,7.3,27000
Raksha Bandhan,1h 48m,2022,5.4,27000
Gabbar Is Back,2h 8m,2015,7,27000
Ae Dil Hai Mushkil,2h 38m,2016,5.8,26000
Bang Bang,2h 33m,2014,5.6,26000
Wanted,2h 27m,2009,6.6,26000
Badlapur,2h 14m,2015,7.4,26000
Bareilly Ki Barfi,1h 56m,2017,7.5,26000
Jhund,2h 56m,2022,7.4,26000
A Thursday,2h 8m,2022,7.7,26000
Lakshya,3h 6m,2004,7.8,26000
Welcome,2h 30m,2007,7.1,26000
Darr,2h 58m,1993,7.6,26000
Krrish 3,2h 32m,2013,5.3,26000
Chup - The Revenge of an Artist,2h 15m,2022,7.5,26000
Madras Cafe,2h 10m,2013,7.6,25000
Parmanu: The Story of Pokhran,2h 9m,2018,7.6,25000
Khosla Ka Ghosla,2h 15m,2006,8.2,25000
Gaslight,1h 51m,2023,5.8,25000
Bhediya,2h 36m,2022,6.7,25000
Guru,2h 42m,2007,7.7,25000
Bhuj: The Pride of India,1h 53m,2021,4.2,25000
Sonu Ke Titu Ki Sweety,2h 18m,2018,7.1,25000
The Vaccine War,2h 41m,2023,7.2,25000
Dil to Pagal Hai,2h 59m,1997,7,25000
Vikram Vedha,2h 40m,2022,7.1,25000
Detective Byomkesh Bakshy!,2h 19m,2015,7.6,24000
Jo Jeeta Wohi Sikandar,2h 54m,1992,8.1,24000
Fukrey 3,2h 27m,2023,5.5,24000
Krrish,3h 5m,2006,6.5,24000
Shiddat,2h 26m,2021,7.6,24000
Chandu Champion,2h 22m,2024,8.3,24000
Rowdy Rathore,2h 20m,2012,5.8,24000
Neerja,2h 2m,2016,7.6,24000
Saaho,2h 50m,2019,5,24000
Bell Bottom,2h 3m,2021,6.1,24000
Ugly,2h 8m,2013,7.9,24000
Cirkus,2h 19m,2022,4.4,24000
Toilet: Ek Prem Katha,2h 35m,2017,7.2,23000
Namastey London,2h 8m,2007,7.1,23000
Jab Harry Met Sejal,2h 23m,2017,5.1,23000
Rock On!!,2h 25m,2008,7.7,23000
Tejas,1h 52m,2023,4.4,23000
Ek Villain,2h 9m,2014,6.6,23000
Pyaar Ka Punchnama,2h 29m,2011,7.6,23000
Hum Aapke Hain Koun...!,3h 26m,1994,7.5,23000
Dhoom,2h 9m,2004,6.6,23000
Bholaa,2h 24m,2023,5.8,23000
Student of the Year 2,2h 26m,2019,2.2,23000
Anek,2h 27m,2022,6.4,23000
Goliyon Ki Raasleela Ram-leela,2h 30m,2013,6.4,22000
Kesari,2h 30m,2019,7.4,22000
Gadar 2,2h 50m,2023,5.1,22000
Bloody Daddy,2h 1m,2023,6.6,22000
Cuttputli,2h,2022,5.7,22000
Good Newwz,2h 12m,2019,6.8,22000
Omkara,2h 35m,2006,8,22000
Rocket Singh: Salesman of the Year,2h 30m,2009,7.5,22000
Simmba,2h 38m,2018,5.5,22000
Black Friday,2h 23m,2004,8.4,22000
Thugs of Hindostan,2h 44m,2018,4.1,22000
Kabhi Alvida Naa Kehna,3h 13m,2006,6.1,22000
Tubelight,2h 16m,2017,3.9,22000
Khuda Haafiz,2h 13m,2020,7.1,22000
Mulk,2h 20m,2018,7.2,22000
Darlings,2h 13m,2022,6.6,22000
Jolly LLB,2h 15m,2013,7.5,22000
Monica O My Darling,2h 9m,2022,7.4,22000
Article 370,2h 38m,2024,7.9,21000
Newton,1h 46m,2017,7.6,21000
Badhaai Do,2h 27m,2022,7,21000
Dum Laga Ke Haisha,1h 49m,2015,7.5,21000
Dobaaraa,2h 12m,2022,4.8,21000
Bad Newz,2h 22m,2024,6.4,21000
